Name,Link,Price
GIGABYTE Gaming GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N307TGAMING OC-8GD,https://www.newegg.ca/p/1FT-000A-002B4,880.00
"GIGABYTE AORUS GeForce RTX 3070 MASTER 8G (LHR) Video Card,8GB 256-bit GDDR6 PCI Express 4.0 x16,1845MHz Core Frequency,DisplayPort 1.4a *3,HDMI 2.1*2, HDMI 2.0*1",https://www.newegg.ca/gigabyte-geforce-rtx-3070-gv-n3070aorus-m-8gd/p/1FT-000A-00370,"1,029.97"
GIGABYTE Gaming GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N307TGAMING OC-8GD,https://www.newegg.ca/p/1FT-000A-002H2,"1,118.75"
GIGABYTE AORUS GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N307TAORUS M-8GD,https://www.newegg.ca/p/27N-0022-000E1,"1,179.97"
GIGABYTE Eagle GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 ATX Video Card GV-N307TEAGLE OC-8GD,https://www.newegg.ca/gigabyte-geforce-rtx-3070-ti-gv-n307teagle-oc-8gd/p/N82E16814932444,"1,097.99"
"ZOTAC GAMING GeForce RTX 3070 Twin Edge OC LHR 8GB GDDR6 256-bit 14 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 2.0 Advanced Cooling, White LED Logo Lighting, ZT-A30700H-10PLHR",https://www.newegg.ca/zotac-geforce-rtx-3070-zt-a30700h-10plhr/p/N82E16814500519,734.99
MSI Gaming GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 Video Card RTX 3070 Ti Gaming X Trio 8G,https://www.newegg.ca/msi-geforce-rtx-3070-ti-gaming-x-trio-8g/p/N82E16814137661,999.99
ASUS ROG Strix GeForce RTX 3070 8GB GDDR6 PCI Express 4.0 x16 Video Card ROG-STRIX-RTX3070-O8G-WHITE-V2,https://www.newegg.ca/asus-geforce-rtx-3070-rog-strix-rtx3070-o8g-white-v2/p/N82E16814126535,"1,145.99"
"ASUS Dual NVIDIA GeForce RTX 3070 V2 OC Edition Gaming Graphics Card (PCIe 4.0, 8GB GDDR6, LHR, HDMI 2.1, DisplayPort 1.4a, Axial-tech Fan Design, Dual BIOS, Protective Backplate)",https://www.newegg.ca/asus-geforce-rtx-3070-dual-rtx3070-o8g-v2/p/N82E16814126531,682.99
"Refurbished GIGABYTE Gaming OC GeForce RTX 3070 8GB GDDR6 PCI Express 4.0 ATX Video Card, LHR GV-N3070GAMING OC-8GD G20-R",https://www.newegg.ca/gigabyte-geforce-rtx-3070-gv-n3070gaming-oc-8gd-g20-r/p/N82E16814932570,559.99
